Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Parameters
iris,SVM,50/50,0.971667,0.966667,"{""C"": 100}"
iris,SVM,20/80,0.676667,0.680000,"{""C"": 0.005}"
iris,SVM,20/80,0.958333,0.953333,"{""C"": 0.1}"
iris,SVM,20/80,0.966667,0.966667,"{""C"": 1}"
iris,SVM,20/80,0.971667,0.966667,"{""C"": 2}"
iris,SVM,20/80,0.971667,0.973333,"{""C"": 5}"
iris,SVM,20/80,0.971667,0.973333,"{""C"": 10}"
iris,SVM,20/80,0.971667,0.966667,"{""C"": 100}"
iris,LOGREG,80/20,0.810000,0.800000,"{""C"": 0.0001, ""solver"": ""liblinear""}"
iris,LOGREG,80/20,0.813333,0.806667,"{""C"": 0.01, ""solver"": ""liblinear""}"
iris,LOGREG,80/20,0.898333,0.886667,"{""C"": 1, ""solver"": ""liblinear""}"
iris,LOGREG,80/20,0.963333,0.946667,"{""C"": 100, ""solver"": ""liblinear""}"
iris,LOGREG,80/20,0.976667,0.960000,"{""C"": 10000, ""solver"": ""liblinear""}"
iris,LOGREG,50/50,0.810000,0.800000,"{""C"": 0.0001, ""solver"": ""liblinear""}"
iris,LOGREG,50/50,0.813333,0.806667,"{""C"": 0.01, ""solver"": ""liblinear""}"
iris,LOGREG,50/50,0.898333,0.886667,"{""C"": 1, ""solver"": ""liblinear""}"
iris,LOGREG,50/50,0.963333,0.946667,"{""C"": 100, ""solver"": ""liblinear""}"
iris,LOGREG,50/50,0.976667,0.960000,"{""C"": 10000, ""solver"": ""liblinear""}"
iris,LOGREG,20/80,0.810000,0.800000,"{""C"": 0.0001, ""solver"": ""liblinear""}"
iris,LOGREG,20/80,0.813333,0.806667,"{""C"": 0.01, ""solver"": ""liblinear""}"
iris,LOGREG,20/80,0.898333,0.886667,"{""C"": 1, ""solver"": ""liblinear""}"
iris,LOGREG,20/80,0.963333,0.946667,"{""C"": 100, ""solver"": ""liblinear""}"
iris,LOGREG,20/80,0.976667,0.960000,"{""C"": 10000, ""solver"": ""liblinear""}"
iris,RF,80/20,0.995000,0.953333,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
iris,RF,80/20,1.000000,0.960000,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
iris,RF,80/20,1.000000,0.966667,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
iris,RF,50/50,0.993333,0.960000,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
iris,RF,50/50,1.000000,0.960000,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
iris,RF,50/50,1.000000,0.966667,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
iris,RF,20/80,0.998333,0.940000,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
iris,RF,20/80,0.998333,0.966667,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
iris,RF,20/80,1.000000,0.960000,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
iris,KNN,80/20,1.000000,0.933333,"{""n_neighbors"": 1}"
iris,KNN,80/20,1.000000,0.900000,"{""n_neighbors"": 60}"
iris,KNN,80/20,1.000000,0.913333,"{""n_neighbors"": 120}"
iris,KNN,50/50,1.000000,0.933333,"{""n_neighbors"": 1}"
iris,KNN,50/50,1.000000,0.893333,"{""n_neighbors"": 38}"
iris,KNN,50/50,1.000000,0.906667,"{""n_neighbors"": 75}"
iris,KNN,20/80,1.000000,0.933333,"{""n_neighbors"": 1}"
iris,KNN,20/80,1.000000,0.933333,"{""n_neighbors"": 15}"
iris,KNN,20/80,1.000000,0.913333,"{""n_neighbors"": 30}"
iris,ANN,80/20,0.995000,0.946667,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
iris,ANN,80/20,1.000000,0.940000,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
iris,ANN,80/20,1.000000,0.960000,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
iris,ANN,50/50,0.995000,0.946667,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
iris,ANN,50/50,1.000000,0.953333,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
iris,ANN,50/50,1.000000,0.953333,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
iris,ANN,20/80,0.996667,0.940000,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
iris,ANN,20/80,1.000000,0.953333,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
iris,ANN,20/80,1.000000,0.940000,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
BCW,SVM,80/20,0.944640,0.940258,"{""C"": 0.005}"
BCW,SVM,80/20,0.959581,0.952569,"{""C"": 0.1}"
BCW,SVM,80/20,0.968367,0.952569,"{""C"": 1}"
BCW,SVM,80/20,0.968806,0.950815,"{""C"": 2}"
BCW,SVM,80/20,0.977152,0.952585,"{""C"": 5}"
BCW,SVM,80/20,0.981108,0.957848,"{""C"": 10}"
BCW,SVM,80/20,0.987701,0.964866,"{""C"": 100}"
BCW,SVM,50/50,0.944640,0.940258,"{""C"": 0.005}"
BCW,SVM,50/50,0.959581,0.952569,"{""C"": 0.1}"
BCW,SVM,50/50,0.968367,0.952569,"{""C"": 1}"
BCW,SVM,50/50,0.968806,0.950815,"{""C"": 2}"
BCW,SVM,50/50,0.977152,0.952585,"{""C"": 5}"
BCW,SVM,50/50,0.981108,0.957848,"{""C"": 10}"
BCW,SVM,50/50,0.987701,0.964866,"{""C"": 100}"
BCW,SVM,20/80,0.944640,0.940258,"{""C"": 0.005}"
BCW,SVM,20/80,0.959581,0.952569,"{""C"": 0.1}"
BCW,SVM,20/80,0.968367,0.952569,"{""C"": 1}"
BCW,SVM,20/80,0.968806,0.950815,"{""C"": 2}"
BCW,SVM,20/80,0.977152,0.952585,"{""C"": 5}"
BCW,SVM,20/80,0.981108,0.957848,"{""C"": 10}"
BCW,SVM,20/80,0.987701,0.964866,"{""C"": 100}"
BCW,LOGREG,80/20,0.888395,0.887455,"{""C"": 0.0001, ""solver"": ""liblinear""}"
BCW,LOGREG,80/20,0.961336,0.949030,"{""C"": 0.01, ""solver"": ""liblinear""}"
BCW,LOGREG,80/20,0.989017,0.978932,"{""C"": 1, ""solver"": ""liblinear""}"
BCW,LOGREG,80/20,0.990777,0.966651,"{""C"": 100, ""solver"": ""liblinear""}"
BCW,LOGREG,80/20,0.998246,0.957848,"{""C"": 10000, ""solver"": ""liblinear""}"
BCW,LOGREG,50/50,0.888395,0.887455,"{""C"": 0.0001, ""solver"": ""liblinear""}"
BCW,LOGREG,50/50,0.961336,0.949030,"{""C"": 0.01, ""solver"": ""liblinear""}"
BCW,LOGREG,50/50,0.989017,0.978932,"{""C"": 1, ""solver"": ""liblinear""}"
BCW,LOGREG,50/50,0.990777,0.966651,"{""C"": 100, ""solver"": ""liblinear""}"
BCW,LOGREG,50/50,0.998246,0.957848,"{""C"": 10000, ""solver"": ""liblinear""}"
BCW,LOGREG,20/80,0.888395,0.887455,"{""C"": 0.0001, ""solver"": ""liblinear""}"
BCW,LOGREG,20/80,0.961336,0.949030,"{""C"": 0.01, ""solver"": ""liblinear""}"
BCW,LOGREG,20/80,0.989017,0.978932,"{""C"": 1, ""solver"": ""liblinear""}"
BCW,LOGREG,20/80,0.990777,0.966651,"{""C"": 100, ""solver"": ""liblinear""}"
BCW,LOGREG,20/80,0.998246,0.957848,"{""C"": 10000, ""solver"": ""liblinear""}"
BCW,RF,80/20,0.996924,0.963158,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
BCW,RF,80/20,1.000000,0.963111,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
BCW,RF,80/20,1.000000,0.961357,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
BCW,RF,50/50,0.995608,0.952569,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
BCW,RF,50/50,1.000000,0.954324,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
BCW,RF,50/50,1.000000,0.961357,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
BCW,RF,20/80,0.996484,0.954308,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
BCW,RF,20/80,1.000000,0.963142,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
BCW,RF,20/80,1.000000,0.963111,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
BCW,KNN,80/20,1.000000,0.952523,"{""n_neighbors"": 1}"
BCW,KNN,80/20,1.000000,0.873544,"{""n_neighbors"": 228}"
