Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Parameters
letter.1,ANN,20/80,1.000000,0.995100,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
letter.2,SVM,80/20,0.722537,0.720800,"{""C"": 0.005}"
letter.2,SVM,80/20,0.724988,0.723750,"{""C"": 0.1}"
letter.2,SVM,80/20,0.724775,0.724250,"{""C"": 1}"
letter.2,SVM,80/20,0.724725,0.724350,"{""C"": 2}"
letter.2,SVM,80/20,0.724738,0.724350,"{""C"": 5}"
letter.2,SVM,80/20,0.724788,0.724400,"{""C"": 10}"
letter.2,SVM,80/20,0.724800,0.724400,"{""C"": 100}"
letter.2,SVM,50/50,0.722537,0.720800,"{""C"": 0.005}"
letter.2,SVM,50/50,0.724988,0.723750,"{""C"": 0.1}"
letter.2,SVM,50/50,0.724775,0.724250,"{""C"": 1}"
letter.2,SVM,50/50,0.724725,0.724350,"{""C"": 2}"
letter.2,SVM,50/50,0.724738,0.724350,"{""C"": 5}"
letter.2,SVM,50/50,0.724788,0.724400,"{""C"": 10}"
letter.2,SVM,50/50,0.724800,0.724400,"{""C"": 100}"
letter.2,SVM,20/80,0.722537,0.720800,"{""C"": 0.005}"
letter.2,SVM,20/80,0.724988,0.723750,"{""C"": 0.1}"
letter.2,SVM,20/80,0.724775,0.724250,"{""C"": 1}"
letter.2,SVM,20/80,0.724725,0.724350,"{""C"": 2}"
letter.2,SVM,20/80,0.724738,0.724350,"{""C"": 5}"
letter.2,SVM,20/80,0.724788,0.724400,"{""C"": 10}"
letter.2,SVM,20/80,0.724800,0.724400,"{""C"": 100}"
letter.2,LOGREG,80/20,0.684175,0.683800,"{""C"": 0.0001, ""solver"": ""saga""}"
letter.2,LOGREG,80/20,0.723888,0.722750,"{""C"": 0.01, ""solver"": ""saga""}"
letter.2,LOGREG,80/20,0.726387,0.726500,"{""C"": 1, ""solver"": ""saga""}"
letter.2,LOGREG,80/20,0.726400,0.726500,"{""C"": 100, ""solver"": ""saga""}"
letter.2,LOGREG,80/20,0.726387,0.726500,"{""C"": 10000, ""solver"": ""saga""}"
letter.2,LOGREG,50/50,0.684150,0.683800,"{""C"": 0.0001, ""solver"": ""saga""}"
letter.2,LOGREG,50/50,0.723888,0.722750,"{""C"": 0.01, ""solver"": ""saga""}"
letter.2,LOGREG,50/50,0.726388,0.726450,"{""C"": 1, ""solver"": ""saga""}"
letter.2,LOGREG,50/50,0.726413,0.726450,"{""C"": 100, ""solver"": ""saga""}"
letter.2,LOGREG,50/50,0.726412,0.726500,"{""C"": 10000, ""solver"": ""saga""}"
letter.2,LOGREG,20/80,0.680300,0.679750,"{""C"": 0.0001, ""solver"": ""liblinear""}"
letter.2,LOGREG,20/80,0.723963,0.722750,"{""C"": 0.01, ""solver"": ""liblinear""}"
letter.2,LOGREG,20/80,0.726388,0.726450,"{""C"": 1, ""solver"": ""liblinear""}"
letter.2,LOGREG,20/80,0.726400,0.726450,"{""C"": 100, ""solver"": ""liblinear""}"
letter.2,LOGREG,20/80,0.726400,0.726450,"{""C"": 10000, ""solver"": ""liblinear""}"
letter.2,RF,80/20,0.998787,0.956450,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.2,RF,80/20,1.000000,0.972900,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.2,RF,80/20,1.000000,0.974950,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.2,RF,50/50,0.998675,0.957200,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.2,RF,50/50,1.000000,0.972950,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.2,RF,50/50,1.000000,0.975500,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.2,RF,20/80,0.998738,0.955150,"{""max_features"": ""sqrt"", ""n_estimators"": 10}"
letter.2,RF,20/80,1.000000,0.974450,"{""max_features"": ""sqrt"", ""n_estimators"": 100}"
letter.2,RF,20/80,1.000000,0.975200,"{""max_features"": ""sqrt"", ""n_estimators"": 1000}"
letter.2,KNN,80/20,1.000000,0.969800,"{""n_neighbors"": 1}"
letter.2,KNN,80/20,1.000000,0.725150,"{""n_neighbors"": 8000}"
letter.2,KNN,80/20,1.000000,0.751750,"{""n_neighbors"": 16000}"
letter.2,KNN,50/50,1.000000,0.969800,"{""n_neighbors"": 1}"
letter.2,KNN,50/50,1.000000,0.751200,"{""n_neighbors"": 5000}"
letter.2,KNN,50/50,1.000000,0.718950,"{""n_neighbors"": 10000}"
letter.2,KNN,20/80,1.000000,0.969800,"{""n_neighbors"": 1}"
letter.2,KNN,20/80,1.000000,0.784900,"{""n_neighbors"": 2000}"
letter.2,KNN,20/80,1.000000,0.759450,"{""n_neighbors"": 4000}"
letter.2,ANN,80/20,0.864462,0.857250,"{""hidden_layer_sizes"": 8, ""solver"": ""adam""}"
letter.2,ANN,80/20,0.974413,0.957200,"{""hidden_layer_sizes"": 128, ""solver"": ""adam""}"
letter.2,ANN,80/20,0.980438,0.963100,"{""hidden_layer_sizes"": 256, ""solver"": ""adam""}"
letter.2,ANN,50/50,0.867313,0.862450,"{""hidden_layer_sizes"": 8, ""solver"": ""adam""}"
letter.2,ANN,50/50,0.972012,0.954200,"{""hidden_layer_sizes"": 128, ""solver"": ""adam""}"
letter.2,ANN,50/50,0.982812,0.964250,"{""hidden_layer_sizes"": 256, ""solver"": ""adam""}"
letter.2,ANN,20/80,0.892075,0.881150,"{""hidden_layer_sizes"": 8, ""solver"": ""lbfgs""}"
letter.2,ANN,20/80,1.000000,0.962950,"{""hidden_layer_sizes"": 128, ""solver"": ""lbfgs""}"
letter.2,ANN,20/80,1.000000,0.968650,"{""hidden_layer_sizes"": 256, ""solver"": ""lbfgs""}"
