Dataset,Model,Split,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Parameters
letter.1,LOGREG,50/50,0.962350,0.962350,0.962700,"{'C': 0.0001, 'solver': 'saga'}"
letter.1,LOGREG,20/80,0.962350,0.962350,0.963313,"{'C': 0.01, 'solver': 'liblinear'}"
letter.1,RF,80/20,1.000000,0.993000,0.996750,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.1,RF,50/50,1.000000,0.992800,0.992900,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.1,RF,20/80,1.000000,0.992950,0.989125,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.1,KNN,80/20,1.000000,0.994200,0.996250,"{'n_neighbors': 1}"
letter.1,KNN,50/50,1.000000,0.994200,0.993200,"{'n_neighbors': 1}"
letter.1,KNN,20/80,1.000000,0.994200,0.990250,"{'n_neighbors': 1}"
letter.1,ANN,80/20,0.996225,0.993300,0.996500,"{'hidden_layer_sizes': (256,), 'solver': 'adam'}"
letter.1,ANN,50/50,0.996237,0.993500,0.991400,"{'hidden_layer_sizes': (256,), 'solver': 'adam'}"
letter.1,ANN,20/80,1.000000,0.995150,0.989375,"{'hidden_layer_sizes': (128,), 'solver': 'lbfgs'}"
letter.2,SVM,80/20,0.724788,0.724400,0.728250,"{'C': 10}"
letter.2,SVM,50/50,0.724788,0.724400,0.726800,"{'C': 10}"
letter.2,SVM,20/80,0.724788,0.724400,0.722500,"{'C': 10}"
letter.2,LOGREG,80/20,0.726387,0.726500,0.728500,"{'C': 1, 'solver': 'saga'}"
letter.2,LOGREG,50/50,0.726412,0.726500,0.726900,"{'C': 10000, 'solver': 'saga'}"
letter.2,LOGREG,20/80,0.726388,0.726450,0.724063,"{'C': 1, 'solver': 'liblinear'}"
letter.2,RF,80/20,1.000000,0.974950,0.980250,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.2,RF,50/50,1.000000,0.975500,0.965200,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.2,RF,20/80,1.000000,0.975200,0.934250,"{'max_features': 'sqrt', 'n_estimators': 1000}"
letter.2,KNN,80/20,1.000000,0.969800,0.973250,"{'n_neighbors': 1}"
letter.2,KNN,50/50,1.000000,0.969800,0.963700,"{'n_neighbors': 1}"
letter.2,KNN,20/80,1.000000,0.969800,0.937063,"{'n_neighbors': 1}"
letter.2,ANN,80/20,0.980438,0.963100,0.968750,"{'hidden_layer_sizes': (256,), 'solver': 'adam'}"
letter.2,ANN,50/50,0.982812,0.964250,0.958600,"{'hidden_layer_sizes': (256,), 'solver': 'adam'}"
letter.2,ANN,20/80,1.000000,0.968650,0.928375,"{'hidden_layer_sizes': (256,), 'solver': 'lbfgs'}"
